,data_pagamento,CACR11_rendimento,BPFF11_rendimento,AFHI11_rendimento,ALZR11_rendimento,RZAT11_rendimento,ARRI11_rendimento,AIEC11_rendimento,BARI11_rendimento,BBPO11_rendimento,BCFF11_rendimento,BRCR11_rendimento,BCIA11_rendimento,BCRI11_rendimento,BLMR11_rendimento,BLMG11_rendimento,BRCO11_rendimento,BTAL11_rendimento,BTCI11_rendimento,BTRA11_rendimento,BTLG11_rendimento,CPFF11_rendimento,CPTS11_rendimento,HGCR11_rendimento,HGFF11_rendimento,HGLG11_rendimento,HGRU11_rendimento,CYCR11_rendimento,CARE11_rendimento,DEVA11_rendimento,VRTA11_rendimento,GTWR11_rendimento,GGRC11_rendimento,GALG11_rendimento,HABT11_rendimento,HCTR11_rendimento,HGBS11_rendimento,HGRE11_rendimento,HSAF11_rendimento,HSLG11_rendimento,HSML11_rendimento,HFOF11_rendimento,IRDM11_rendimento,JPPA11_rendimento,JSAF11_rendimento,JSRE11_rendimento,KISU11_rendimento,KNRI11_rendimento,KCRE11_rendimento,KNHY11_rendimento,KNIP11_rendimento,KNCR11_rendimento,KNSC11_rendimento,KFOF11_rendimento,LGCP11_rendimento,MALL11_rendimento,MCCI11_rendimento,MCHF11_rendimento,MXRF11_rendimento,MFII11_rendimento,MGFF11_rendimento,MORC11_rendimento,MORE11_rendimento,NCHB11_rendimento,OUJP11_rendimento,PATL11_rendimento,PLCR11_rendimento,PORD11_rendimento,QAGR11_rendimento,RBRL11_rendimento,RBRY11_rendimento,RBRP11_rendimento,RBRF11_rendimento,RBRR11_rendimento,RECR11_rendimento,RECT11_rendimento,RBFF11_rendimento,RCRB11_rendimento,RBVA11_rendimento,RZAK11_rendimento,RZTR11_rendimento,SADI11_rendimento,SARE11_rendimento,SNCI11_rendimento,SNFF11_rendimento,TEPP11_rendimento,TGAR11_rendimento,TORD11_rendimento,TRXF11_rendimento,URPR11_rendimento,VGHF11_rendimento,VGIP11_rendimento,VGIR11_rendimento,CVBI11_rendimento,LVBI11_rendimento,PVBI11_rendimento,VCJR11_rendimento,VSLH11_rendimento,VCRI11_rendimento,VIUR11_rendimento,VILG11_rendimento,VINO11_rendimento,VISC11_rendimento,VTLT11_rendimento,WHGR11_rendimento,XPCI11_rendimento,XPIN11_rendimento,XPLG11_rendimento,XPML11_rendimento,XPPR11_rendimento,XPSF11_rendimento
15,2017-03-28,,,,,,,,,,,,0.9200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2017-04-07,,0.6700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2017-04-13,,,,,,,,,,,,,1.1000,,,,,,,,,,,,,,,,,1.0300,,,,,,,,,,,,,,,,,,,,0.8900,1.0500,,,,,,,,,,,,,,,,,,,,,,,,,0.6700,1.1000,0.8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2017-04-17,,,,,,,,,0.9550,0.5500,0.6700,,,,,,,,,,,1.1000,0.9000,,0.8700,,,,,,,,,,,1.2400,0.9400,,,,,,,,,,0.9200,,,,,,,,,,,0.0900,1.1700,,,,6.3802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2017-04-25,,,,,,,,,,,,,,,,,,,,0.2445,,,,,,,,,,,,,,,,,,,,,,,,,0.8300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2017-04-28,,,,,,,,,,,,0.7800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2017-05-08,,0.6700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2017-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6500,0.8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2017-05-15,,,,,,,,,0.9550,0.5500,0.6600,,1.0800,,,,,,,,,1.0000,0.9000,,0.8700,,,,,1.0000,,,,,,1.2400,0.9400,,,,,,,,,,0.9200,,,,,,,,,,,0.0950,1.1700,,,,1.5757,,,,,,,,,,,,,0.5600,1.1000,0.8540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2017-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2017-05-25,,,,,,,,,,,,,,,,,,,,0.2720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2017-05-29,,,,,,,,,,,,0.6500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2017-06-07,,0.6700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2017-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2017-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6000,0.8400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2017-06-14,,,,,,,,,0.9550,0.5000,0.5700,,0.9200,,,,,,,,,0.7000,0.9000,,0.8700,,,,,0.9800,,,,,,1.2400,0.9400,,,,,,,,,,0.9200,,,,,,,,,,,0.1000,1.1700,,,,3.8459,,,,,,,,,,,,,0.5500,2.7000,0.8540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2017-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2017-06-23,,,,,,,,,,,,,,,,,,,,0.2422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2017-06-29,,,,,,,,,,,,0.8400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2017-07-07,,0.6700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2017-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2017-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2017-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5600,0.7300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2017-07-14,,,,,,,,,0.9550,0.5000,0.4200,,0.8800,,,,,,,,,0.8000,0.9000,,0.8700,,,,,0.9600,,,,,,1.2400,0.9400,,,,,,,,,,0.9200,,,,,,,,,,,0.0600,1.1700,,,,0.0908,2.5448,,,,,,,,,,,,0.5600,1.2000,0.8540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2017-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
