,data_pagamento,CACR11_rendimento,BPFF11_rendimento,AFHI11_rendimento,ALZR11_rendimento,RZAT11_rendimento,ARRI11_rendimento,AIEC11_rendimento,BARI11_rendimento,BBPO11_rendimento,BCFF11_rendimento,BRCR11_rendimento,BCIA11_rendimento,BCRI11_rendimento,BLMR11_rendimento,BLMG11_rendimento,BRCO11_rendimento,BTAL11_rendimento,BTCI11_rendimento,BTRA11_rendimento,BTLG11_rendimento,CPFF11_rendimento,CPTS11_rendimento,HGCR11_rendimento,HGFF11_rendimento,HGLG11_rendimento,HGRU11_rendimento,CYCR11_rendimento,CARE11_rendimento,DEVA11_rendimento,VRTA11_rendimento,GTWR11_rendimento,GGRC11_rendimento,GALG11_rendimento,HABT11_rendimento,HCTR11_rendimento,HGBS11_rendimento,HGRE11_rendimento,HSAF11_rendimento,HSLG11_rendimento,HSML11_rendimento,HFOF11_rendimento,IRDM11_rendimento,JPPA11_rendimento,JSAF11_rendimento,JSRE11_rendimento,KISU11_rendimento,KNRI11_rendimento,KCRE11_rendimento,KNHY11_rendimento,KNIP11_rendimento,KNCR11_rendimento,KNSC11_rendimento,KFOF11_rendimento,LGCP11_rendimento,MALL11_rendimento,MCCI11_rendimento,MCHF11_rendimento,MXRF11_rendimento,MFII11_rendimento,MGFF11_rendimento,MORC11_rendimento,MORE11_rendimento,NCHB11_rendimento,OUJP11_rendimento,PATL11_rendimento,PLCR11_rendimento,PORD11_rendimento,QAGR11_rendimento,RBRL11_rendimento,RBRY11_rendimento,RBRP11_rendimento,RBRF11_rendimento,RBRR11_rendimento,RECR11_rendimento,RECT11_rendimento,RBFF11_rendimento,RCRB11_rendimento,RBVA11_rendimento,RZAK11_rendimento,RZTR11_rendimento,SADI11_rendimento,SARE11_rendimento,SNCI11_rendimento,SNFF11_rendimento,TEPP11_rendimento,TGAR11_rendimento,TORD11_rendimento,TRXF11_rendimento,URPR11_rendimento,VGHF11_rendimento,VGIP11_rendimento,VGIR11_rendimento,CVBI11_rendimento,LVBI11_rendimento,PVBI11_rendimento,VCJR11_rendimento,VSLH11_rendimento,VCRI11_rendimento,VIUR11_rendimento,VILG11_rendimento,VINO11_rendimento,VISC11_rendimento,VTLT11_rendimento,WHGR11_rendimento,XPCI11_rendimento,XPIN11_rendimento,XPLG11_rendimento,XPML11_rendimento,XPPR11_rendimento,XPSF11_rendimento
69,2017-11-16,,,,,,,,,0.9809,0.4950,0.4170,,,,,,,,,,,0.7500,0.7300,,0.8700,,,,,,,,,,,1.0000,0.9400,,,,,,,,,,0.9200,,,,,,,,,,,0.0600,1.1700,,,,,0.7000,,,,,,,,,,,,,,,,,,,,,,0.9000,,,,,,,,,,,,,,,,,,,,,,,,
70,2017-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2017-11-24,,,,,,,,,,,,,,,,,,,,0.3204,,,,,,,,,,,,,,,,,,,,,,,,,0.5600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2017-11-29,,,,,,,,,,,,0.7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,2017-11-30,,,,,,,,,,,,0.7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,2017-12-07,,0.6700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,2017-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,2017-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7700,0.6300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,2017-12-14,,,,,,,,,0.9809,0.4950,0.4900,,,,,,,,,,,0.8500,0.7300,,0.8700,,,,,,,,,,,1.0300,0.9400,,,,,,,,,,0.9200,,,,,,,,,,,0.0600,1.1700,,,,0.7113,0.7000,,,,,,,,,,,,,,,,,,,,,,0.7800,,,,,,,,,,,,,,,,0.6100,,,,,,,,
78,2017-12-15,,,,,,,,,,,,,0.6500,,,,,,,,,,,,,,,,,0.7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6100,0.8000,0.7440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,2017-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,2017-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,2017-12-22,,,,,,,,,,,,,,,,,,,,0.3526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,2017-12-28,,,,,,,,,,,,0.7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,2018-01-08,,0.7200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,2018-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,2018-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7500,,,,,,,,,,,,,,,,,,,,,,0.6900,0.6100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,2018-01-15,,,,,,,,,1.2509,0.5089,0.4494,,0.6500,,,,,,,,,0.7200,0.7300,,0.8700,,,,,0.7000,,,,,,1.1500,0.9400,,,,,,,,,,0.2000,,,,,,,,,,,0.0500,1.1700,,,,2.6371,0.7083,,,,,,,,,,,,0.6300,0.7000,0.8440,,,,,,,,,,,,,,,,,,,,,,,,0.6100,,,,,,,,
87,2018-01-15,,,,,,,,,1.2509,0.5089,0.4494,,0.6500,,,,,,,,,0.7200,0.7300,,0.8700,,,,,0.7000,,,,,,1.1500,0.9400,,,,,,,,,,0.2000,,,,,,,,,,,0.0500,1.1700,,,,2.6371,0.7083,,,,,,,,,,,,0.6300,0.7000,0.8440,,,,,,,,,,,,,,,,,,,,,,,,0.6100,,,,,,,,
88,2018-01-15,,,,,,,,,1.2509,0.5089,0.4494,,0.6500,,,,,,,,,0.7200,0.7300,,0.8700,,,,,0.7000,,,,,,1.1500,0.9400,,,,,,,,,,0.2000,,,,,,,,,,,0.0500,1.1700,,,,2.6371,0.7083,,,,,,,,,,,,0.5000,0.7000,0.8440,,,,,,,,,,,,,,,,,,,,,,,,0.6100,,,,,,,,
89,2018-01-15,,,,,,,,,1.2509,0.5089,0.4494,,0.6500,,,,,,,,,0.7200,0.7300,,0.8700,,,,,0.7000,,,,,,1.1500,0.9400,,,,,,,,,,0.2000,,,,,,,,,,,0.0500,1.1700,,,,2.6371,0.7083,,,,,,,,,,,,0.6300,0.7000,0.8440,,,,,,,,,,,,,,,,,,,,,,,,0.6100,,,,,,,,
90,2018-01-15,,,,,,,,,1.2509,0.5089,0.4494,,0.6500,,,,,,,,,0.7200,0.7300,,0.8700,,,,,0.7000,,,,,,1.1500,0.9400,,,,,,,,,,0.2000,,,,,,,,,,,0.0500,1.1700,,,,2.6371,0.7083,,,,,,,,,,,,0.6300,0.7000,0.8440,,,,,,,,,,,,,,,,,,,,,,,,0.6100,,,,,,,,
91,2018-01-15,,,,,,,,,1.2509,0.5089,0.4494,,0.6500,,,,,,,,,0.7200,0.7300,,0.8700,,,,,0.7000,,,,,,1.1500,0.9400,,,,,,,,,,0.2000,,,,,,,,,,,0.0500,1.1700,,,,2.6371,0.7083,,,,,,,,,,,,0.5000,0.7000,0.8440,,,,,,,,,,,,,,,,,,,,,,,,0.6100,,,,,,,,
92,2018-01-15,,,,,,,,,1.2509,0.5089,0.4494,,0.6500,,,,,,,,,0.7200,0.7300,,0.8700,,,,,0.7000,,,,,,1.1500,0.9400,,,,,,,,,,0.2000,,,,,,,,,,,0.0500,1.1700,,,,2.6371,0.7083,,,,,,,,,,,,0.6300,0.7000,0.8440,,,,,,,,,,,,,,,,,,,,,,,,0.6100,,,,,,,,
93,2018-01-15,,,,,,,,,1.2509,0.5089,0.4494,,0.6500,,,,,,,,,0.7200,0.7300,,0.8700,,,,,0.7000,,,,,,1.1500,0.9400,,,,,,,,,,0.2000,,,,,,,,,,,0.0500,1.1700,,,,2.6371,0.7083,,,,,,,,,,,,0.6300,0.7000,0.8440,,,,,,,,,,,,,,,,,,,,,,,,0.6100,,,,,,,,
94,2018-01-15,,,,,,,,,1.2509,0.5089,0.4494,,0.6500,,,,,,,,,0.7200,0.7300,,0.8700,,,,,0.7000,,,,,,1.1500,0.9400,,,,,,,,,,0.2000,,,,,,,,,,,0.0500,1.1700,,,,2.6371,0.7083,,,,,,,,,,,,0.5000,0.7000,0.8440,,,,,,,,,,,,,,,,,,,,,,,,0.6100,,,,,,,,
95,2018-01-15,,,,,,,,,1.2509,0.5089,0.4494,,0.6500,,,,,,,,,0.7200,0.7300,,0.8700,,,,,0.7000,,,,,,1.1500,0.9400,,,,,,,,,,0.2000,,,,,,,,,,,0.0500,1.1700,,,,2.6371,0.7083,,,,,,,,,,,,0.6300,0.7000,0.8440,,,,,,,,,,,,,,,,,,,,,,,,0.6100,,,,,,,,
96,2018-01-15,,,,,,,,,1.2509,0.5089,0.4494,,0.6500,,,,,,,,,0.7200,0.7300,,0.8700,,,,,0.7000,,,,,,1.1500,0.9400,,,,,,,,,,0.2000,,,,,,,,,,,0.0500,1.1700,,,,2.6371,0.7083,,,,,,,,,,,,0.6300,0.7000,0.8440,,,,,,,,,,,,,,,,,,,,,,,,0.6100,,,,,,,,
97,2018-01-15,,,,,,,,,1.2509,0.5089,0.4494,,0.6500,,,,,,,,,0.7200,0.7300,,0.8700,,,,,0.7000,,,,,,1.1500,0.9400,,,,,,,,,,0.2000,,,,,,,,,,,0.0500,1.1700,,,,2.6371,0.7083,,,,,,,,,,,,0.5000,0.7000,0.8440,,,,,,,,,,,,,,,,,,,,,,,,0.6100,,,,,,,,
98,2018-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7800,,,,,,,,,,,,,,,,,,,,,,,,
99,2018-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,2018-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,2018-01-24,,,,,,,,,,,,,,,,,,,,0.3372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,2018-01-30,,,,,,,,,,,,0.7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,2018-02-07,,0.6700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,2018-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,2018-02-15,,,,,,,,,,,,,0.6500,,,,,,,,,,,,,,,,,0.7000,,,,,,,,,,,,,,,,,,,,0.8600,0.6700,,,,,,,0.0600,,,,,,,,,,,,,,,,,,0.5000,0.7000,0.7280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,2018-02-16,,,,,,,,,0.9809,0.4950,0.4956,,,,,,,,,,,0.7200,0.7500,,0.8700,,,,,,,,,,,1.2000,0.8000,,,,,,,,,,0.6200,,,,,,,,0.4800,,,,1.1800,,,,2.5844,0.7000,,,,,,,,,,,,,,,,,,,,,,0.8800,,,,,,,,,,,,,,,,0.6100,,,,,,,,
107,2018-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,2018-02-23,,,,0.3521,,,,,,,,,,,,,,,,0.3357,,,,,,,,,,,,,,,,,,,,,,,,,0.6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0478,,
109,2018-02-28,,,,,,,,,,,,0.7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,2018-03-07,,0.6700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,2018-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,2018-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7500,0.5500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,2018-03-14,,,,,,,,,0.9809,0.4950,0.3500,,,,,,,,,,,0.7000,0.7500,,0.8700,,,,,,,,,,,1.2000,0.8000,,,,,,,,,,0.8200,,,,,,,,0.5000,,,,1.1800,,,,5.2985,0.7000,,,,,,,,,,,,,,,,,,,,,,0.7500,,,,,,,,,,,,,,,,0.6100,,,,,,,,
114,2018-03-15,,,,,,,,,,,,,0.5600,,,,,,,,,,,,,,,,,0.6200,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0700,,,,,,,,,,,,,,,,,,0.4200,0.7000,0.7210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,2018-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,2018-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,2018-03-23,,,,0.7809,,,,,,,,,,,,,,,,0.3349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4951,,
118,2018-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,2018-03-28,,,,,,,,,,,,0.6200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,2018-04-06,,0.6700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,2018-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,2018-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7500,0.6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,2018-04-13,,,,,,,,,0.9809,0.4950,0.3064,,0.6600,,,,,,,,,0.7500,0.7700,,0.8700,,,,,0.6900,,,,,,1.2000,0.8000,,,,0.5000,,,,,,0.9000,,,,,,,,0.6700,,,,1.1800,,,,3.5467,0.6667,,,,,,,,,,,,0.3900,0.8100,0.7250,,,,,,,,0.8300,,,,,,,,,,,,,,,,0.6100,,,,,,,,
124,2018-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,2018-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,2018-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,2018-04-25,,,,0.5175,,,,,,,,,,,,,,,,0.3376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5029,,
128,2018-04-27,,,,,,,,,,,,0.7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,2018-05-08,,0.6700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,2018-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,,,,,,,
131,2018-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6000,0.5800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,2018-05-15,,,,,,,,,0.9809,0.5100,0.2677,,0.6500,,,,,,,,,0.8000,0.7700,,0.8700,,,,,0.7400,,,,,,1.2000,0.8000,,,,0.5500,,,,,,0.8200,,,,,,,,0.6100,,,0.0600,1.1800,,,,2.7332,0.6667,,,,,,,,,,,,0.4200,0.7000,0.7250,,,,,,,,0.8200,,,,,,,,,,,,,,,,0.6100,,,,,,,,
133,2018-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,2018-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,2018-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,2018-05-25,,,,0.6421,,,,,,,,,,,,,,,,0.3507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5269,,
137,2018-05-29,,,,,,,,,,,,0.7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,2018-06-07,,0.6700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,2018-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,,,,,,,
140,2018-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5900,0.5900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,2018-06-14,,,,,,,,,0.9809,0.5100,0.3500,,,,,,,,,,,0.7000,0.7700,,0.8700,0.1400,,,,,,,,,,1.2000,0.8000,,,,0.8500,,,,,,0.8200,,,,,,,,0.6200,,,,1.1800,,,,2.6782,0.6042,,,,,,,,,,,,,,,,,,,,,,0.8000,,,,,,,,,,,,,,,,0.6100,,,,,,,,
142,2018-06-15,,,,,,,,,,,,,0.7200,,,,,,,,,,,,,,,,,0.7400,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0800,,,,,,,,,,,,,,,,,,0.6000,0.7300,0.7250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,2018-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3365,,,,,,,,,,,,,,,,,,0.3095,,,,,,,,,,,,0.8000,0.3577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,2018-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,2018-06-25,,,,0.6400,,,,,,,,,,,,,,,,0.3489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4955,,
146,2018-06-28,,,,,,,,,,,,0.7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,2018-07-06,,0.6700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,2018-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,,,,,,,
149,2018-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6500,0.6300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,2018-07-13,,,,,,,,,,,,,0.7500,,,,,,,,,0.8000,1.0600,,0.7500,0.7500,,,,0.8100,,,,,,1.2000,0.8000,,,,,,,,,,0.9200,,,,,,,,0.6200,,,0.1000,1.1800,,,,,0.6300,,,,,,,,,,,,0.4200,0.7300,,,,,,,,,0.8300,,,,,,,,,,,,,,,,,,,,,0.3200,,,
151,2018-07-16,,,,,,,,,0.9809,0.5100,0.3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8700,,,,,,,,,,,,,,,,,,,,,,2.2797,,,,,,,,,,,,,,,0.7250,,,,,,,,,,,,,,,,,,,,,,,,0.6100,,,,,,,,
152,2018-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,2018-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7292,,,,,,,,,,,,,,,,,,0.2893,,,,,,,,,,,,1.1542,0.3969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,2018-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,2018-07-25,,,,0.6400,,,,,,,,,,,,,,,,0.2936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2903,,
156,2018-07-30,,,,,,,,,,,,0.7130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,2018-08-07,,0.6700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,2018-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,,,,,,,
